id,title,Cenlocation,location,bedroom,bathroom,size,price,image
1,Sea Breeze Condo,กรุงเทพมหานคร,สุขุมวิท 71 ใกล้ BTS พระโขนง,2,2,65,2500,"https://example.com/sea-breeze.jpg"
2,Garden View Suite,กรุงเทพมหานคร,อโศก ใกล้ MRT พระราม 9,1,1,40,1800,"https://example.com/garden-view.jpg"
3,Sunset Beachfront,กรุงเทพมหานคร,ลาดพร้าว ใกล้ MRT ลาดพร้าว,3,2,90,3200,"https://example.com/sunset-beach.jpg"
4,Sunset Beachfront,กรุงเทพมหานคร,ลาดพร้าว ใกล้ MRT ลาดพร้าว,3,2,90,3200,"https://example.com/sunset-beach.jpg"
5,คอนโดโนเบิ้ลโครงการ2 รัชดา,กรุงเทพมหานคร,รัชดาภิเษก 32,2,2,65,2500,"https://example.com/noble-2.jpg"
6,โนเบิ้ลรีโวฟ 2รัชดา  26ตรว ,กรุงเทพมหานคร,รัชดาภิเษก 26,2,2,70,2700,"https://example.com/noble-revo-2.jpg"
7,โนเบิ้ล งามวงศ์วาน,กรุงเทพมหานคร,งามวงศ์วาน 12,2,2,65,2500,"https://example.com/noble-ngamwongwan.jpg"
8,เซียล่า ศรีปทุม (CIELA Sripatum),กรุงเทพมหานคร,ศรีปทุม 5,1,1,30,1500,"https://example.com/ciela-sripatum.jpg"
9,ลุมพินี วิลล์ พระนั่งเกล้า-ริเวอร์วิว,กรุงเทพมหานคร,พระนั่งเกล้า 10,1,1,35,1600,"https://example.com/lumpini-river-view.jpg"
10,เดอะทรีสุขุมวิท71-เอกมัย,กรุงเทพมหานคร,สุขุมวิท 71,2,2,60,2400,"https://example.com/the-tree-sukhumvit-71.jpg"
11,เซียล่า1,กรุงเทพมหานคร,สุขุมวิท 71,2,2,60,2400,"https://example.com/the-tree-sukhumvit-71.jpg"
12,เซียล่า2,กรุงเทพมหานคร,สุขุมวิท 71,2,2,60,2400,"https://example.com/the-tree-sukhumvit-71.jpg"
13,โคปาคาบาน่า,กรุงเทพมหานคร,สุขุมวิท 71,2,2,60,2400,"https://example.com/the-tree-sukhumvit-71.jpg"
14,คอนโดอารมณ์ พัทยา 808,กรุงเทพมหานคร,พัทยา 808,2,2,65,2500,"https://example.com/arom-jomtien.jpg"
15,AROM JOMTIEN,กรุงเทพมหานคร,AROM JOMTIEN,2,2,65,2500,"https://example.com/arom-jomtien.jpg"
16,ซีเคร็ดกาเด้น พัทยาเหนือ,กรุงเทพมหานคร,ซีเคร็ดกาเด้น พัทยาเหนือ,2,2,65,2500,"https://example.com/arom-jomtien.jpg"
17,แอมบาสซี่ จอมเทียนพัทยาสาย2,กรุงเทพมหานคร,แอมบาสซี่ จอมเทียนพัทยาสาย2,2,2,65,2500,"https://example.com/arom-jomtien.jpg"
18,โนเบิ้ลพระราม9,กรุงเทพมหานคร,โนเบิ้ลพระราม9,2,2,65,2500,"https://example.com/arom-jomtien.jpg"
